total_sessions,completed_sessions,completion_rate,favorite_count,favorite_rate,avg_duration_minutes,avg_active_seconds,avg_engagement_ratio,calm_type_ratio,balanced_type_ratio,active_type_ratio,feedback_positive_score,feedback_present_rate,target_label
11,6,0.5455,2,0.1818,5.1687,252.4605,0.8141,0.7253,0.1621,0.1125,0.2166,0.2263,calm
7,3,0.4286,2,0.2857,8.1277,390.8091,0.8014,0.6894,0.2346,0.076,0.5078,0.1955,calm
7,3,0.4286,1,0.1429,8.8255,236.2325,0.4461,0.6879,0.2311,0.081,0.3615,0.1412,calm
38,30,0.7895,4,0.1053,25.5086,1208.4773,0.7896,0.0535,0.2531,0.6934,0.8317,0.9405,active
20,14,0.7,2,0.1,13.7719,512.8213,0.6206,0.2881,0.4569,0.2551,0.4444,0.2108,balanced
17,13,0.7647,4,0.2353,28.5651,1358.4144,0.7926,0.0256,0.1998,0.7745,0.7276,0.3921,active
78,56,0.7179,0,0.0,40.1268,2575.1419,1.0696,0.0612,0.2437,0.6951,0.9037,0.7416,active
22,14,0.6364,3,0.1364,5.9149,292.3976,0.8239,0.7249,0.2337,0.0414,0.4225,0.3185,calm
79,69,0.8734,17,0.2152,41.0978,1784.1765,0.7235,0.0642,0.2356,0.7003,0.8393,0.9204,active
71,57,0.8028,6,0.0845,44.2624,2309.8663,0.8698,0.1467,0.1663,0.687,0.7223,0.9313,active
27,19,0.7037,4,0.1481,21.9203,911.5695,0.6931,0.3207,0.485,0.1943,0.6306,0.643,balanced
48,25,0.5208,4,0.0833,19.1449,955.0743,0.8314,0.3922,0.4621,0.1457,0.5375,0.6196,balanced
71,62,0.8732,11,0.1549,23.6091,1527.3954,1.0783,0.121,0.1775,0.7015,0.5986,0.8157,active
35,28,0.8,5,0.1429,21.0963,824.4874,0.6514,0.2615,0.4476,0.2909,0.4352,0.6041,balanced
73,44,0.6027,3,0.0411,24.0406,1072.9497,0.7438,0.115,0.1674,0.7176,0.7785,0.5427,active
29,28,0.9655,8,0.2759,39.1986,2214.7513,0.9417,0.0128,0.2212,0.766,0.9225,0.7162,active
7,4,0.5714,2,0.2857,5.9378,157.3168,0.4416,0.8205,0.1035,0.0759,0.4738,0.1155,calm
5,3,0.6,1,0.2,6.1069,223.7172,0.6106,0.7056,0.1532,0.1412,0.407,0.0634,calm
10,7,0.7,0,0.0,14.3056,758.9493,0.8842,0.2845,0.4597,0.2557,0.6349,0.3045,balanced
9,3,0.3333,0,0.0,7.4973,334.6009,0.7438,0.7309,0.1803,0.0888,0.3489,0.1251,calm
76,58,0.7632,19,0.25,20.1745,1330.3391,1.099,0.032,0.3312,0.6368,0.9901,0.3784,active
23,11,0.4783,1,0.0435,12.1018,511.3026,0.7042,0.2515,0.5022,0.2463,0.7311,0.2983,balanced
13,7,0.5385,4,0.3077,21.8758,961.0714,0.7322,0.3308,0.3563,0.3129,0.4087,0.5931,balanced
26,19,0.7308,3,0.1154,38.2584,2176.1218,0.948,0.1865,0.1965,0.6169,0.5586,0.6561,active
18,9,0.5,4,0.2222,7.6812,336.4837,0.7301,0.7962,0.1876,0.0161,0.2091,0.4092,calm
71,53,0.7465,9,0.1268,33.4394,1864.1819,0.9291,0.0868,0.2727,0.6405,0.9704,0.8998,active
48,31,0.6458,14,0.2917,20.018,776.204,0.6463,0.2091,0.5042,0.2867,0.5569,0.2113,balanced
39,33,0.8462,4,0.1026,17.2877,855.7649,0.825,0.3021,0.5167,0.1812,0.4408,0.2607,balanced
27,12,0.4444,0,0.0,13.6192,486.9105,0.5959,0.3011,0.4321,0.2668,0.4372,0.6029,balanced
66,40,0.6061,6,0.0909,38.5409,2261.8473,0.9781,0.0609,0.1916,0.7475,0.8257,0.6744,active
49,37,0.7551,11,0.2245,12.7828,613.9537,0.8005,0.3121,0.3964,0.2915,0.6234,0.6682,balanced
19,7,0.3684,4,0.2105,10.2222,447.9789,0.7304,0.6844,0.2659,0.0497,0.3834,0.0875,calm
16,13,0.8125,5,0.3125,26.7321,1556.6096,0.9705,0.1592,0.2076,0.6332,0.727,0.4815,active
52,43,0.8269,1,0.0192,32.4832,2076.2344,1.0653,0.0273,0.2935,0.6792,0.6343,0.718,active
31,16,0.5161,1,0.0323,14.4751,814.4368,0.9377,0.3629,0.422,0.2151,0.6847,0.6988,balanced
17,10,0.5882,2,0.1176,9.5326,464.281,0.8117,0.7346,0.2448,0.0206,0.545,0.3654,calm
11,4,0.3636,0,0.0,7.5303,320.0337,0.7083,0.7136,0.1913,0.0951,0.1617,0.123,calm
23,14,0.6087,6,0.2609,16.84,591.3069,0.5852,0.2579,0.5255,0.2166,0.5764,0.5821,balanced
22,15,0.6818,5,0.2273,10.8422,321.7574,0.4946,0.7221,0.1863,0.0916,0.2123,0.4032,calm
20,16,0.8,4,0.2,12.1766,606.1606,0.8297,0.3499,0.403,0.2471,0.5066,0.3495,balanced
33,30,0.9091,8,0.2424,28.998,1336.9538,0.7684,0.0769,0.2474,0.6758,0.745,0.7276,active
11,5,0.4545,2,0.1818,21.7161,1154.1417,0.8858,0.358,0.4574,0.1846,0.7354,0.3888,balanced
32,16,0.5,7,0.2188,17.6747,598.2414,0.5641,0.3113,0.5445,0.1442,0.3722,0.2149,balanced
43,37,0.8605,0,0.0,25.0969,1146.058,0.7611,0.1353,0.2523,0.6124,0.5693,0.5733,active
12,5,0.4167,0,0.0,7.1614,205.3582,0.4779,0.8125,0.1038,0.0836,0.4449,0.163,calm
29,16,0.5517,8,0.2759,9.9425,427.1185,0.716,0.7348,0.2534,0.0118,0.377,0.1616,calm
38,36,0.9474,3,0.0789,20.5604,1120.5795,0.9084,0.1825,0.1331,0.6844,0.9301,0.8242,active
10,5,0.5,3,0.3,10.2571,504.534,0.8198,0.768,0.1553,0.0768,0.1683,0.2405,calm
23,16,0.6957,1,0.0435,7.8977,273.8635,0.5779,0.7209,0.2647,0.0144,0.3798,0.2686,calm
30,16,0.5333,4,0.1333,17.4212,815.4472,0.7801,0.3371,0.3667,0.2962,0.6887,0.2072,balanced
12,8,0.6667,0,0.0,5.1764,251.0639,0.8084,0.8691,0.1053,0.0257,0.4834,0.3476,calm
24,14,0.5833,3,0.125,14.5853,483.6583,0.5527,0.3877,0.4085,0.2038,0.6204,0.5297,balanced
20,9,0.45,5,0.25,17.4624,674.3555,0.6436,0.2156,0.4919,0.2925,0.7309,0.2456,balanced
32,23,0.7188,4,0.125,9.4606,234.0339,0.4123,0.7716,0.1183,0.1101,0.2577,0.206,calm
45,38,0.8444,9,0.2,25.7062,1633.8881,1.0593,0.0485,0.2668,0.6848,0.8177,0.9012,active
44,32,0.7273,8,0.1818,17.6696,985.8862,0.9299,0.2632,0.4149,0.3219,0.5929,0.6438,balanced
44,30,0.6818,8,0.1818,13.9564,784.9294,0.9374,0.2477,0.4674,0.2849,0.524,0.4538,balanced
31,21,0.6774,9,0.2903,15.0166,547.4083,0.6076,0.2906,0.4322,0.2773,0.7198,0.419,balanced
26,19,0.7308,7,0.2692,25.9781,1347.8827,0.8648,0.1532,0.1239,0.7229,0.7963,0.5182,active
75,50,0.6667,3,0.04,33.5028,1654.1751,0.8229,0.1088,0.1948,0.6964,0.8734,0.3971,active
5,3,0.6,1,0.2,6.0248,175.565,0.4857,0.6906,0.2231,0.0863,0.2278,0.1436,calm
49,42,0.8571,13,0.2653,23.5824,1205.4562,0.8519,0.0717,0.2527,0.6756,0.9706,0.901,active
7,5,0.7143,1,0.1429,7.8975,231.1087,0.4877,0.7233,0.2256,0.0511,0.4751,0.1643,calm
21,14,0.6667,0,0.0,38.0028,2203.1224,0.9662,0.1205,0.1843,0.6953,0.7421,0.5674,active
11,8,0.7273,0,0.0,8.7643,201.9173,0.384,0.7785,0.1308,0.0907,0.5321,0.2643,calm
20,11,0.55,1,0.05,16.6109,763.3579,0.7659,0.3254,0.3498,0.3248,0.6404,0.5999,balanced
15,9,0.6,2,0.1333,6.5086,187.3004,0.4796,0.7354,0.1643,0.1003,0.3404,0.3151,calm
10,8,0.8,1,0.1,12.2682,618.8891,0.8408,0.2696,0.4036,0.3268,0.6422,0.6111,balanced
40,35,0.875,3,0.075,34.4471,1715.0371,0.8298,0.118,0.1784,0.7036,0.8008,0.8207,active
16,11,0.6875,4,0.25,11.6004,279.8267,0.402,0.5899,0.323,0.0872,0.318,0.4429,calm
27,20,0.7407,0,0.0,20.4364,1133.8403,0.9247,0.2546,0.4412,0.3043,0.6813,0.6989,balanced
19,13,0.6842,4,0.2105,9.5861,402.0731,0.6991,0.7983,0.1904,0.0113,0.5103,0.3858,calm
26,15,0.5769,6,0.2308,10.5065,245.3495,0.3892,0.7856,0.1861,0.0282,0.271,0.3651,calm
21,10,0.4762,6,0.2857,5.2042,212.0554,0.6791,0.7416,0.2015,0.0569,0.4422,0.1866,calm
24,14,0.5833,6,0.25,14.4624,694.7457,0.8006,0.2693,0.3987,0.332,0.4614,0.4157,balanced
9,5,0.5556,2,0.2222,17.4441,976.5,0.933,0.2819,0.4245,0.2936,0.3959,0.6712,balanced
42,25,0.5952,9,0.2143,19.3814,790.682,0.6799,0.3528,0.4624,0.1848,0.721,0.2568,balanced
29,19,0.6552,6,0.2069,21.5591,839.581,0.6491,0.3505,0.4233,0.2262,0.4133,0.3652,balanced
27,12,0.4444,6,0.2222,9.742,213.6553,0.3655,0.7775,0.1207,0.1019,0.341,0.1684,calm
25,9,0.36,7,0.28,11.3398,392.3739,0.5767,0.6631,0.2779,0.059,0.4586,0.2667,calm
18,7,0.3889,4,0.2222,9.9768,354.9494,0.593,0.6577,0.3319,0.0104,0.3631,0.3791,calm
45,29,0.6444,1,0.0222,32.9727,1409.9791,0.7127,0.0719,0.2021,0.726,0.612,0.8403,active
18,13,0.7222,1,0.0556,31.5787,1418.5079,0.7487,0.0233,0.1841,0.7926,0.847,0.5139,active
63,43,0.6825,9,0.1429,40.7644,1943.7056,0.7947,0.0607,0.2405,0.6988,0.921,0.5312,active
9,7,0.7778,2,0.2222,19.3214,650.6877,0.5613,0.2482,0.5339,0.2179,0.5806,0.6995,balanced
79,75,0.9494,9,0.1139,42.5128,2241.7442,0.8789,0.1046,0.1713,0.7241,0.7145,0.7398,active
19,13,0.6842,6,0.3158,10.2709,235.8138,0.3827,0.8577,0.0984,0.0439,0.4868,0.2499,calm
29,16,0.5517,5,0.1724,16.6687,600.9645,0.6009,0.2685,0.5116,0.2199,0.6764,0.2404,balanced
